run_id,seed,env,n_nodes,topology,strategy,optimizer,lr,constraint,schedule,gamma,radius,dim,cond,steps,final_mean_loss,final_suboptimality,final_consensus_error,final_dist_to_opt
run_0000,0,gossip,5,ring,local_then_gossip,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.62817770706282,,0.026533013113134562,
run_0001,1,gossip,5,ring,local_then_gossip,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6164237784464419,,0.02585236145951112,
run_0002,0,gossip,5,ring,local_then_gossip,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6203940567578818,,0.03385144154291285,
run_0003,1,gossip,5,ring,local_then_gossip,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6073251223567089,,0.03196527527705886,
run_0004,0,gossip,5,ring,local_then_gossip,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6290066013266584,,0.0685155957253775,
run_0005,1,gossip,5,ring,local_then_gossip,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6155958426321377,,0.06790467554754381,
run_0006,0,gossip,5,ring,local_then_gossip,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6207519961907353,,0.0895678598064558,
run_0007,1,gossip,5,ring,local_then_gossip,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6047013575702134,,0.08874458638245264,
run_0008,0,gossip,5,ring,gossip_then_local,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6269038457320251,,0.0614162585356874,
run_0009,1,gossip,5,ring,gossip_then_local,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6153355092112422,,0.05656891984510792,
run_0010,0,gossip,5,ring,gossip_then_local,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6189219795262734,,0.06825411792387695,
run_0011,1,gossip,5,ring,gossip_then_local,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6053812373933143,,0.06508815321192858,
run_0012,0,gossip,5,ring,gossip_then_local,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6281709987661587,,0.17298490099377536,
run_0013,1,gossip,5,ring,gossip_then_local,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6137397666188542,,0.15638682511072405,
run_0014,0,gossip,5,ring,gossip_then_local,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6191672799497152,,0.18386442550209275,
run_0015,1,gossip,5,ring,gossip_then_local,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6009409246713068,,0.1843580553916262,
run_0016,0,gossip,5,ring,gradient_tracking,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6344502594261379,,0.021688198987861194,
run_0017,1,gossip,5,ring,gradient_tracking,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6177081135920395,,0.020481628896165345,
run_0018,0,gossip,5,ring,gradient_tracking,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6276390182554584,,0.01893699097350122,
run_0019,1,gossip,5,ring,gradient_tracking,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.609948952947071,,0.016173803212356265,
run_0020,0,gossip,5,ring,gradient_tracking,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6344502594261379,,0.021688198987861194,
run_0021,1,gossip,5,ring,gradient_tracking,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6177081135920395,,0.020481628896165345,
run_0022,0,gossip,5,ring,gradient_tracking,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6276390182554584,,0.01893699097350122,
run_0023,1,gossip,5,ring,gradient_tracking,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.609948952947071,,0.016173803212356265,
run_0024,0,gossip,5,complete,local_then_gossip,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6291077165030037,,3.79154954055434e-17,
run_0025,1,gossip,5,complete,local_then_gossip,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6173445690658447,,4.709042173399797e-17,
run_0026,0,gossip,5,complete,local_then_gossip,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6219490787207954,,2.62961275971107e-17,
run_0027,1,gossip,5,complete,local_then_gossip,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6085672263746892,,5.214443119474912e-17,
run_0028,0,gossip,5,complete,local_then_gossip,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6301381294900721,,2.5962848444054623e-17,
run_0029,1,gossip,5,complete,local_then_gossip,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6172658438071598,,2.851785659007876e-17,
run_0030,0,gossip,5,complete,local_then_gossip,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6231857917661922,,3.813782272912884e-17,
run_0031,1,gossip,5,complete,local_then_gossip,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6071798771347219,,3.395313666045387e-17,
run_0032,0,gossip,5,complete,gossip_then_local,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6278835853659525,,0.053027475361763034,
run_0033,1,gossip,5,complete,gossip_then_local,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6158596676939893,,0.04540581421791104,
run_0034,0,gossip,5,complete,gossip_then_local,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6203694460385423,,0.054640223412350385,
run_0035,1,gossip,5,complete,gossip_then_local,fw,0.1,l2ball,harmonic,0.2,1.0,10,,30,0.6061799731875673,,0.05179468373065453,
run_0036,0,gossip,5,complete,gossip_then_local,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6290195171006383,,0.16378649702437703,
run_0037,1,gossip,5,complete,gossip_then_local,fw,0.1,l2ball,constant,0.2,1.0,10,,30,0.6143166560884314,,0.1406114957856519,
